solve_index,sim_time,solve_time_ms,osqp_status,osqp_iter,objective_value,fallback_used,tau1,tau2
438,8.7600,0.1909,1,25,-3495.2635,0,0.0001,0.0000
439,8.7800,0.2356,1,25,-3495.2719,0,0.0000,0.0000
440,8.8000,0.1861,1,25,-3495.2799,0,0.0000,0.0000
441,8.8200,0.2376,1,25,-3495.2873,0,0.0000,0.0000
442,8.8400,0.1844,1,25,-3495.2942,0,0.0000,0.0000
443,8.8600,0.1891,1,25,-3495.3007,0,0.0000,0.0000
444,8.8800,0.2021,1,25,-3495.3067,0,0.0000,0.0000
445,8.9000,0.2045,1,25,-3495.3124,0,0.0000,0.0000
446,8.9200,0.2455,1,25,-3495.3177,0,0.0000,0.0000
447,8.9400,0.1851,1,25,-3495.3227,0,0.0000,0.0000
448,8.9600,0.1937,1,25,-3495.3273,0,0.0000,0.0000
449,8.9800,0.2654,1,25,-3495.3317,0,0.0000,0.0000
450,9.0000,0.2022,1,25,-3495.3357,0,0.0000,0.0000
451,9.0200,0.2305,1,25,-3495.3396,0,0.0000,0.0000
452,9.0400,0.2057,1,25,-3495.3431,0,0.0000,0.0000
453,9.0600,0.1861,1,25,-3495.3464,0,0.0000,0.0000
454,9.0800,0.1918,1,25,-3495.3496,0,0.0000,0.0000
455,9.1000,0.1905,1,25,-3495.3525,0,0.0000,0.0000
456,9.1200,0.1903,1,25,-3495.3552,0,0.0000,0.0000
457,9.1400,0.2240,1,25,-3495.3578,0,0.0000,0.0000
458,9.1600,0.1843,1,25,-3495.3602,0,0.0000,0.0000
459,9.1800,0.1896,1,25,-3495.3624,0,0.0000,0.0000
460,9.2000,0.2514,1,25,-3495.3645,0,0.0000,0.0000
461,9.2200,0.1858,1,25,-3495.3664,0,0.0000,0.0000
462,9.2400,0.1906,1,25,-3495.3683,0,0.0000,0.0000
463,9.2600,0.1853,1,25,-3495.3700,0,0.0000,0.0000
464,9.2800,0.1946,1,25,-3495.3716,0,0.0000,0.0000
465,9.3000,0.1923,1,25,-3495.3731,0,0.0000,0.0000
466,9.3200,0.1881,1,25,-3495.3745,0,0.0000,0.0000
467,9.3400,0.3232,1,25,-3495.3758,0,0.0000,0.0000
468,9.3600,0.2285,1,25,-3495.3770,0,0.0000,0.0000
469,9.3800,0.1943,1,25,-3495.3782,0,0.0000,0.0000
470,9.4000,0.2147,1,25,-3495.3793,0,0.0000,0.0000
471,9.4200,0.2740,1,25,-3495.3803,0,0.0000,0.0000
472,9.4400,0.1940,1,25,-3495.3812,0,0.0000,0.0000
473,9.4600,0.1872,1,25,-3495.3821,0,0.0000,0.0000
474,9.4800,0.1922,1,25,-3495.3829,0,0.0000,0.0000
475,9.5000,0.2002,1,25,-3495.3837,0,0.0000,0.0000
476,9.5200,0.2258,1,25,-3495.3844,0,0.0000,0.0000
477,9.5400,0.1968,1,25,-3495.3851,0,0.0000,0.0000
478,9.5600,0.1898,1,25,-3495.3857,0,0.0000,0.0000
479,9.5800,0.1888,1,25,-3495.3863,0,0.0000,0.0000
480,9.6000,0.2124,1,25,-3495.3869,0,0.0000,0.0000
481,9.6200,0.1934,1,25,-3495.3874,0,0.0000,0.0000
482,9.6400,0.1982,1,25,-3495.3879,0,0.0000,0.0000
483,9.6600,0.1946,1,25,-3495.3883,0,0.0000,0.0000
484,9.6800,0.1910,1,25,-3495.3888,0,0.0000,0.0000
485,9.7000,0.2405,1,25,-3495.3892,0,0.0000,0.0000
486,9.7200,0.2270,1,25,-3495.3895,0,0.0000,0.0000
487,9.7400,0.1957,1,25,-3495.3899,0,0.0000,0.0000
488,9.7600,0.2299,1,25,-3495.3902,0,0.0000,0.0000
489,9.7800,0.1838,1,25,-3495.3905,0,0.0000,0.0000
490,9.8000,0.3325,1,25,-3495.3908,0,0.0000,0.0000
491,9.8200,0.2132,1,25,-3495.3911,0,0.0000,0.0000
492,9.8400,0.2124,1,25,-3495.3913,0,0.0000,0.0000
493,9.8600,0.3888,1,25,-3495.3915,0,0.0000,0.0000
494,9.8800,0.1955,1,25,-3495.3918,0,0.0000,0.0000
495,9.9000,0.2344,1,25,-3495.3920,0,0.0000,0.0000
496,9.9200,0.1880,1,25,-3495.3922,0,0.0000,0.0000
497,9.9400,0.2341,1,25,-3495.3923,0,0.0000,0.0000
498,9.9600,0.1900,1,25,-3495.3925,0,0.0000,0.0000
499,9.9800,0.1868,1,25,-3495.3927,0,0.0000,0.0000
